REFERENCIA,PRODUCTO,MEDIDA,CANTIDAD,FECHA
40046766,ALKA SELTZER EST X 60 TAB PRECIO ESPECIA,CARTON,128,28/08/17
40046737,ALKA SELTZER EXTREME X 20,CARTON,104,28/08/17
40046738,APRONAX 275MG LG X 8 CAP,CARTON,80,28/08/17
40046741,ASPIRINA 100MG X140TAB,CARTON,43,28/08/17
40046767,ASPIRINA EFEX50T + ASA ULTRA X20 TAB PE,CARTON,160,28/08/17
40046758,ASPIRINA ULTRA 500MGX20,CARTON,80,28/08/17
40046525,BARRAS CHOCO KRISPIS 114G,CARTON,111,28/08/17
40046527,BARRAS KELLOGG'S FRUTELA FRESA 222G,CARTON,37,28/08/17
40046528,BARRAS KELLOGG'S FRUTELA MANZANA 222G,CARTON,31,28/08/17
40046526,BARRAS ZUCARITAS 126G,CARTON,74,28/08/17
40045912,BIC COMFORT 3 SENSITIVE PG 6 LL 7,CARTON,234,28/08/17
40045693,BIC MAQUINA COMFORT 3 ACTION NORMAL CART,CARTON,234,28/08/17
40045689,ENCENDEDOR MINI J5 PAGUE 6 LLEVE 7,CARTON,206,28/08/17
40045636,Lapicero BIC Negro Caja x 12 x 50,CARTON,105,28/08/17
40045692,Maq. Afeitar BIC Aqua 3 Cartela x 13 x 48,CARTON,118,28/08/17
40046523,MEGA CHOCOKRISPIS 54X130G,CARTON,379,28/08/17
40046524,MEGA ZUCARITAS 54X130G,CARTON,379,28/08/17
40046759,MEXSANA TALCO X 85G-รก,CARTON,117,28/08/17
40046520,PAQUETICO CHOCOKRISPIS 240X35G,CARTON,370,28/08/17
40046522,PAQUETICO FROOT LOOPS 240X30G,CARTON,82,28/08/17
40046521,PAQUETICO ZUCARITAS 240X35G,CARTON,378,28/08/17
40046500,PRINGLES  ORIGINAL 12X37G,CARTON,151,28/08/17
40046501,PRINGLES CREMA Y CEBOLLA 12X40G,CARTON,151,28/08/17
40046516,PRINGLES CREMA Y CEBOLLA 14X137G KLG,CARTON,76,28/08/17
40046518,PRINGLES ORIGNAL14X137G KLG,CARTON,76,28/08/17
40046515,PRINGLES POLLO 12X40G,CARTON,74,28/08/17
40046504,PRINGLES QUESO 12X40G,CARTON,77,28/08/17
40046517,PRINGLES QUESO 14X137G KLG,CARTON,39,28/08/17
40046756,TABCIN ACTIVE LIQUID GELS X12CAP,CARTON,49,28/08/17
40046757,TABCIN NOCHE LIQUID GELS X12CAP,CARTON,43,28/08/17
FA040058.09,BOSTON BLUE KS BOX 10,CARTON,6128,28/08/17
FA068176.01,BOSTON BLUE KS BOX 20,CARTON,3989,28/08/17
FA018649.10,CARIBE LS BOX 20,CARTON,68,28/08/17
FA037841.06,CARIBE LS SOF 10,CARTON,9,28/08/17
FA059788.02,CHESTERFIELD (MINT CAPSULE) KS BOX 10,CARTON,74,28/08/17
FA059787.02,CHESTERFIELD (MINT CAPSULE) KS BOX 20,CARTON,74,28/08/17
FA059794.02,CHESTERFIELD CAPSULE MNT KS BOX 10,CARTON,81,28/08/17
FA059795.02,CHESTERFIELD CAPSULE MNT KS BOX 20,CARTON,82,28/08/17
FA059790.02,CHESTERFIELD MENTHOL MNT KS BOX 10,CARTON,1035,28/08/17
FA059789.02,CHESTERFIELD MENTHOL MNT KS BOX 20,CARTON,925,28/08/17
FA059786.02,CHESTERFIELD WHITE KS BOX 10,CARTON,522,28/08/17
FA059785.02,CHESTERFIELD WHITE KS BOX 20,CARTON,1420,28/08/17
FA030964.08,DERBY LS SOF 10,CARTON,6,28/08/17
FA018565.10,DERBY LS SOF 20,CARTON,12,28/08/17
FA043493.06,FORTUNA BLUE LABEL KS BOX 10,CARTON,316,28/08/17
FA043494.06,FORTUNA BLUE LABEL LS BOX 20,CARTON,208,28/08/17
FA018642.08,IMPERIAL LS BOX 20,CARTON,2,28/08/17
FA068252.00,L&M MENTHOL EVO MNT KS BOX 10,CARTON,610,28/08/17
FA068251.00,L&M MENTHOL EVO MNT KS BOX 20,CARTON,313,28/08/17
FA048079.06,L&M RED KS BOX 10,CARTON,9,28/08/17
FA048080.06,L&M RED KS BOX 20,CARTON,9,28/08/17
FA055928.06,L&M SILVER KS BOX 10,CARTON,695,28/08/17
FA056826.05,L&M SILVER KS BOX 20,CARTON,532,28/08/17
FA047649.05,MARLBORO (RED FWD) KS BOX 10,CARTON,874,28/08/17
FA047650.05,MARLBORO (RED FWD) KS BOX 20,CARTON,678,28/08/17
FA059764.04,MARLBORO GOLD (2.0 ORIGINAL) KS BOX 10,CARTON,340,28/08/17
FA059765.03,MARLBORO GOLD (2.0 ORIGINAL) KS BOX 20,CARTON,289,28/08/17
FA062711.07,MARLBORO ICE FUSION MNT KS BOX 10,CARTON,938,28/08/17
FA062710.06,MARLBORO ICE FUSION MNT KS BOX 20,CARTON,457,28/08/17
FA059769.05,MARLBORO ICE XPRESS (2.0) MNT KS BOX 10,CARTON,969,28/08/17
FA059770.05,MARLBORO ICE XPRESS (2.0) MNT KS BOX 20,CARTON,477,28/08/17
FA048862.06,PIELROJA AZUL CON FILTRO KS BOX 10,CARTON,575,28/08/17
FA048863.05,PIELROJA AZUL CON FILTRO LS BOX 20,CARTON,384,28/08/17
FA053951.04,PIELROJA NF RS SOF 18 MAG,CARTON,235,28/08/17
FA018637.08,ROYAL LS BOX 20,CARTON,225,28/08/17
FA030965.07,ROYAL LS SOF 10,CARTON,30,28/08/17
